City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
230,Comodoro Rivadavia,AR,2022-01-27 17:09:25,-45.8667,-67.5,80.46,32,0,18.41
231,Saint-Philippe,RE,2022-01-27 17:07:06,-21.3585,55.7679,76.59,78,7,10.07
232,Dwarka,IN,2022-01-27 17:11:44,22.2394,68.9678,67.95,46,0,12.33
233,Alice Springs,AU,2022-01-27 17:09:34,-23.7,133.8833,78.35,73,100,9.22
234,Qui Nhon,VN,2022-01-27 17:07:33,13.7667,109.2333,70.52,85,96,7.92
235,Katobu,ID,2022-01-27 17:11:45,-4.9408,122.5276,76.46,89,100,1.52
236,Saint-Augustin,CA,2022-01-27 17:11:45,51.226,-58.6502,-1.07,75,2,5.77
237,Tautira,PF,2022-01-27 17:11:45,-17.7333,-149.15,77.02,77,21,16.06
238,Torbay,CA,2022-01-27 17:11:46,47.6666,-52.7314,24.39,82,75,12.66
239,Abashiri,JP,2022-01-27 17:11:46,44.0213,144.2697,11.41,91,93,7.0
240,Qandala,SO,2022-01-27 17:11:46,11.472,49.8728,74.97,68,89,6.11
241,Isangel,VU,2022-01-27 17:07:41,-19.55,169.2667,79.7,87,100,7.76
242,Tulum,MX,2022-01-27 17:11:47,20.2167,-87.4667,84.25,66,24,2.48
243,Stornoway,GB,2022-01-27 17:11:47,58.2093,-6.3865,42.93,89,20,3.0
244,Pietermaritzburg,ZA,2022-01-27 17:11:47,-29.6168,30.3928,73.76,91,21,4.92
245,Kupang,ID,2022-01-27 17:11:48,-10.1667,123.5833,80.33,84,100,13.62
246,Gambela,ET,2022-01-27 17:11:48,8.25,34.5833,84.99,27,14,3.18
247,Colesberg,ZA,2022-01-27 17:11:48,-30.72,25.0972,89.38,15,40,12.06
248,Iquique,CL,2022-01-27 17:08:29,-20.2208,-70.1431,73.44,70,71,8.14
249,Cherskiy,RU,2022-01-27 17:11:49,68.75,161.3,-39.06,97,21,2.19
250,Krasnokholmskiy,RU,2022-01-27 17:11:49,55.9873,55.0466,-2.04,100,91,5.03
251,Mindelo,CV,2022-01-27 17:11:50,16.8901,-24.9804,70.32,71,99,23.82
252,Kansk,RU,2022-01-27 17:11:50,56.2017,95.7175,-8.07,100,100,0.63
253,Sereflikochisar,TR,2022-01-27 17:11:50,38.9393,33.5386,14.27,93,25,4.68
254,Biltine,TD,2022-01-27 17:11:51,14.5333,20.9167,74.44,15,7,14.29
255,Pangnirtung,CA,2022-01-27 17:11:51,66.1451,-65.7125,-20.87,75,44,4.09
256,Saldanha,ZA,2022-01-27 17:11:51,-33.0117,17.9442,65.79,82,0,22.15
257,Ilawe,NG,2022-01-27 17:11:51,7.8667,4.4333,92.03,16,3,1.5
258,Poum,NC,2022-01-27 17:11:52,-20.2333,164.0167,80.74,80,86,12.21
259,Jian,CN,2022-01-27 17:11:52,27.1172,114.9793,44.8,89,100,7.05
260,Pochutla,MX,2022-01-27 17:11:52,15.7432,-96.4661,87.82,48,1,6.4
261,Kodiak,US,2022-01-27 17:09:30,57.79,-152.4072,35.11,87,100,16.11
262,Minsk,BY,2022-01-27 17:10:40,53.9,27.5667,31.75,97,100,14.03
263,East London,ZA,2022-01-27 17:11:53,-33.0153,27.9116,77.94,88,75,6.91
264,Magway,MM,2022-01-27 17:11:53,20.15,94.9167,68.34,65,0,6.76
265,Longyearbyen,SJ,2022-01-27 17:11:54,78.2186,15.6401,8.44,72,75,10.36
266,Katsuura,JP,2022-01-27 17:11:54,35.1333,140.3,44.19,75,100,12.19
267,Nikolayevka,RU,2022-01-27 17:11:54,53.1257,47.2041,12.65,98,89,4.54
268,Hofn,IS,2022-01-27 17:11:55,64.2539,-15.2082,33.48,54,100,5.79
269,Kidal,ML,2022-01-27 17:11:55,18.4411,1.4078,73.45,14,88,13.6
270,Hatillo,PR,2022-01-27 17:11:55,18.4863,-66.8254,85.01,69,8,1.99
271,Makakilo City,US,2022-01-27 17:12:55,21.3469,-158.0858,64.72,84,0,4.61
272,Lata,PT,2022-01-27 17:12:56,40.1629,-8.3327,61.92,55,10,6.26
273,Chatellerault,FR,2022-01-27 17:12:56,46.8,0.5333,38.3,49,30,4.85
274,Los Cedrales,PY,2022-01-27 17:12:56,-25.65,-54.7,88.09,58,94,4.09
275,Nouadhibou,MR,2022-01-27 17:12:57,20.931,-17.0347,65.08,73,99,21.41
276,Sterling,US,2022-01-27 17:09:35,39.0062,-77.4286,33.37,53,0,8.99
277,Lincoln,US,2022-01-27 17:12:57,40.8,-96.667,40.28,63,75,1.99
278,Korla,CN,2022-01-27 17:12:58,41.7597,86.1469,24.17,59,0,3.29
279,Papetoai,PF,2022-01-27 17:12:58,-17.4961,-149.8729,76.59,73,12,13.56
280,Gravdal,NO,2022-01-27 17:12:58,68.1214,13.5031,33.48,80,100,25.32
281,Murgab,TM,2022-01-27 17:12:59,37.4966,61.9714,61.25,30,100,22.82
282,Ucluelet,CA,2022-01-27 17:12:59,48.9329,-125.5528,43.41,59,38,6.93
283,Dargaville,NZ,2022-01-27 17:12:59,-35.9333,173.8833,63.1,79,34,8.81
284,Chingola,ZM,2022-01-27 17:13:00,-12.529,27.8838,64.0,95,96,5.17
285,Fairfield,US,2022-01-27 17:09:20,41.2668,-73.3162,28.87,55,0,1.01
286,Sao Joao Da Barra,BR,2022-01-27 17:13:00,-21.6403,-41.0511,89.69,74,2,14.05
287,Tarakan,ID,2022-01-27 17:13:00,3.3,117.6333,80.38,79,28,6.71
288,Lavrentiya,RU,2022-01-27 17:13:01,65.5833,-171.0,-11.9,81,46,1.57
289,Thinadhoo,MV,2022-01-27 17:13:01,0.5333,72.9333,81.16,70,100,12.95
290,Dombasle-Sur-Meurthe,FR,2022-01-27 17:13:01,48.6252,6.3497,35.58,84,100,5.75
291,Fort Morgan,US,2022-01-27 17:13:02,40.2503,-103.8,30.94,100,0,11.5
292,Diffa,NE,2022-01-27 17:13:02,13.3154,12.6113,72.66,21,34,11.16
